body,votes,tags,link,title
"<div class=""post-text"" itemprop=""text"">

<p>Here is a piece of <strong>C++</strong> code that seems very peculiar. For some strange reason, sorting the data miraculously makes the code almost six times faster.</p>

<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;

    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        // Primary loop
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock() - start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; std::endl;
    std::cout &lt;&lt; ""sum = "" &lt;&lt; sum &lt;&lt; std::endl;
}
</code></pre>

<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in <strong>11.54</strong> seconds.</li>
<li>With the sorted data, the code runs in <strong>1.93</strong> seconds.</li>
</ul>

<p>Initially, I thought this might be just a language or compiler anomaly. So I tried it in <strong>Java</strong>.</p>

<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;

        for (int i = 0; i &lt; 100000; ++i)
        {
            // Primary loop
            for (int c = 0; c &lt; arraySize; ++c)
            {
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(""sum = "" + sum);
    }
}
</code></pre>

<p>With a somewhat similar, but less extreme result.</p>

<hr>

<p>My first thought was that sorting brings the data into the cache, but my next thought was how silly that is, because the array was just generated.</p>

<ul>
<li>What is going on?</li>
<li>Why is a sorted array faster than an unsorted array?</li>
<li>The code is summing up some independent terms, and the order should not matter.</li>
</ul>
    </div>",13985,"java,c++,performance,optimization,branch-prediction",http://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-an-unsorted-array,Why is processing a sorted array faster than an unsorted array?
"<div class=""post-text"" itemprop=""text"">

<p>Say I create an object as follows:</p>

<pre><code>var myObject = {""ircEvent"": ""PRIVMSG"", ""method"": ""newURI"", ""regex"": ""^http://.*""};
</code></pre>

<p>What is the best way to remove the property <code>regex</code> to end up with the following new <code>myObject</code>?</p>

<pre><code>var myObject = {""ircEvent"": ""PRIVMSG"", ""method"": ""newURI""};
</code></pre>
    </div>",2649,javascript,http://stackoverflow.com/questions/208105/how-do-i-remove-a-property-from-a-javascript-object,How do I remove a property from a JavaScript object?
"<div class=""post-text"" itemprop=""text"">

<p>I have an <code>array of integers</code>, which I'm using the <code>.push()</code> method to add to.</p>

<p>Is there a simple way to remove a specific element from an array? The equivalent of something like <code>array.remove(int);</code></p>

<p>I have to use <em>core</em> JavaScript - <em>no</em> frameworks are allowed.</p>
    </div>",2602,"javascript,arrays",http://stackoverflow.com/questions/5767325/remove-a-particular-element-from-an-array-in-javascript,Remove a particular element from an array in JavaScript?
"<div class=""post-text"" itemprop=""text"">

<p>How do I get the path of the directory in which a <a href=""http://en.wikipedia.org/wiki/Bash_%28Unix_shell%29"">Bash</a> script is located FROM that Bash script?</p>

<p>For instance, let's say I want to use a Bash script as a launcher for another application. I want to change the working directory to the one where the Bash script is located, so I can operate on the files in that directory, like so: </p>

<pre>$ ./application</pre>
    </div>",2467,"bash,directory",http://stackoverflow.com/questions/59895/can-a-bash-script-tell-what-directory-its-stored-in,Can a Bash script tell what directory it's stored in?
"<div class=""post-text"" itemprop=""text"">

<p>I have a <code>master</code> and a <code>development</code> branch, both pushed to <a href=""http://en.wikipedia.org/wiki/GitHub"">GitHub</a>. I've <code>clone</code>d, <code>pull</code>ed, and <code>fetch</code>ed, but I remain unable to get anything other than the <code>master</code> branch back.</p>

<p>I'm sure I'm missing something obvious, but I have read the manual and I'm getting no joy at all.</p>
    </div>",2553,"git,git-branch,git-clone,remote-branch",http://stackoverflow.com/questions/67699/clone-all-remote-branches-with-git,Clone all remote branches with Git?
"<div class=""post-text"" itemprop=""text"">

<p>What is the difference between <code>INNER JOIN</code> and <code>OUTER JOIN</code>?</p>

<p>How do <code>LEFT JOIN</code>, <code>RIGHT JOIN</code>, and <code>FULL JOIN</code> fit in?</p>
    </div>",2626,"sql,join,inner-join,outer-join,difference",http://stackoverflow.com/questions/38549/difference-between-inner-and-outer-joins,Difference between INNER and OUTER joins
"<div class=""post-text"" itemprop=""text"">

<p>Is there something in JavaScript similar to <code>@import</code> in CSS that allows you to include a JavaScript file inside another JavaScript file?</p>
    </div>",2548,"javascript,file,import,include",http://stackoverflow.com/questions/950087/include-a-javascript-file-in-another-javascript-file,Include a JavaScript file in another JavaScript file?
"<div class=""post-text"" itemprop=""text"">

<p>How do I force an overwrite of local files on a <a href=""http://en.wikipedia.org/wiki/Git_%28software%29"">Git</a> pull?</p>

<p>The scenario is following:</p>

<ul>
<li>A team member is modifying the templates for a website we are working on</li>
<li>They are adding some images to the images directory (but forgets to add them under source control)</li>
<li>They are sending the images by mail, later, to me</li>
<li>I'm adding the images under the source control and pushing them to Github together with other changes</li>
<li>They cannot pull updates from Github because git doesn't want to overwrite their files.</li>
</ul>

<p>The errors I'm getting are:</p>

<blockquote>
  <p>error: Untracked working tree file 'public/images/icon.gif' would be overwritten by merge.</p>
</blockquote>

<p>How do I force Git to overwrite them? The person is a designer - usually I resolve all the conflicts by hand so the server has the most recent version that they just needs to update on their computer.</p>
    </div>",2658,"git,version-control,overwrite,git-pull,git-fetch",http://stackoverflow.com/questions/1125968/force-git-to-overwrite-local-files-on-pull,Force Git to overwrite local files on pull
"<div class=""post-text"" itemprop=""text"">

<p>I need to check the <code>checked</code> property of a checkbox and perform an action based on the checked property using jQuery.</p>

<p>For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.</p>

<p>But the following code returns <code>false</code> by default:</p>

<pre><code>if($('#isAgeSelected').attr('checked')) {
    $(""#txtAge"").show();
} else {
    $(""#txtAge"").hide();
}
</code></pre>

<p>How do I successfully query the <code>checked</code> property?</p>
    </div>",2503,"javascript,jquery,checkbox",http://stackoverflow.com/questions/901712/check-checkbox-checked-property,Check checkbox checked property
"<div class=""post-text"" itemprop=""text"">

<p>Yesterday I was pairing the socks from the clean laundry and figured out the way I was doing it is not very efficient. I was doing a naive search — picking one sock and ""iterating"" the pile in order to find its pair. This requires iterating over n/2 * n/4 = n<sup>2</sup>/8 socks on average.</p>

<p>As a computer scientist I was thinking what I could do? Sorting (according to size/color/...) of course came to mind to achieve an O(NlogN) solution.</p>

<p>Hashing or other not-in-place solutions are not an option, because I am not able to duplicate my socks (though it could be nice if I could).</p>

<p><strong>So, the question is basically:</strong></p>

<p>Given a pile of <code>n</code> pairs of socks, containing <code>2n</code> elements (assume each sock has exactly one matching pair), what is the best way to pair them up efficiently with up to logarithmic extra space? (I believe I can remember that amount of info if needed.)</p>

<p>I will appreciate an answer that addresses the following aspects:</p>

<ul>
<li>A general <em>theoretical</em> solution for a huge number of socks.</li>
<li>The actual number of socks is not that large, I don't believe my spouse and I have more than 30 pairs. (And it is fairly easy to distinguish between my socks and hers; can this be used as well?)</li>
<li>Is it equivalent to the <a href=""http://en.wikipedia.org/wiki/Element_distinctness_problem"">element distinctness problem</a>?</li>
</ul>
    </div>",2731,"algorithm,sorting,language-agnostic,matching",http://stackoverflow.com/questions/14415881/pair-socks-from-a-pile-efficiently,Pair socks from a pile efficiently?
